isHeading,Artifact Type,module,parentBinding,Name,Primary Text,Description,Within Scope?,Justification
FALSE,Requirement,Support,3.1.7,3.1.7.7,The system shall display the FAQ’s upon request.,Provide Customer Support,TRUE,Web API
FALSE,Test,Support,3.1.7.7,FAQRequested,Displays the FAQ.,Provide Customer Support,TRUE,Test case
TRUE,Header,Customer,3.1,3.1.8,Email confirmation,Email confirmation,TRUE,Header
FALSE,Requirement,Customer,3.1.8,3.1.8.1,The system shall maintain customer email information as a required part of customer profile.,Email confirmation,TRUE,Web API
FALSE,Test,Customer,3.1.8.1,UserEmailInProfile,User profile includes an email address,Email confirmation,TRUE,Test case
FALSE,Requirement,Customer,3.1.8,3.1.8.2,The system shall send an order confirmation to the user through email.,Email confirmation,FALSE,ordering will be stubbed.
TRUE,Header,Sales,3.1,3.1.9,Detailed invoice for customer,Detailed invoice for customer,TRUE,Header
FALSE,Requirement,Sales,3.1.9,3.1.9.1,The system shall display detailed invoice for current order once it is confirmed.,Detailed invoice for customer,FALSE,ordering will be stubbed.
FALSE,Requirement,Sales,3.1.9,3.1.9.2,The system shall optionally allow user to print the invoice.,Detailed invoice for customer,FALSE,Requires formatting to PDF
TRUE,Header,Sales,3.1,3.1.10,Provide shopping cart facility.,Provide shopping cart facility.,TRUE,Header
FALSE,Requirement,Sales,3.1.10,3.1.10.1,The system shall provide shopping cart during online purchase.,Provide shopping cart facility.,TRUE,Web API
FALSE,Test,Sales,3.1.10.1,DisplayEmptyCart,System displays an empty cart if it is empty.,Provide shopping cart facility.,TRUE,Test case
FALSE,Test,Sales,3.1.10.1,DisplayPopulatedCart,System displays a populated cart if it is populated.,Provide shopping cart facility.,TRUE,Test case
FALSE,Requirement,Sales,3.1.10,3.1.10.2,The system shall allow user to add/remove products in the shopping cart.,Provide shopping cart facility.,TRUE,Web API
FALSE,Test,Sales,3.1.10.2,AddItemsToCart,User may add items to cart,Provide shopping cart facility.,TRUE,Test case
FALSE,Test,Sales,3.1.10.2,RemoveItemsFromCart,User may remove items from a populated cart.,Provide shopping cart facility.,TRUE,Test case
